respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.24,0.26
26708,0.04,0.05
26709,0.32,0.78
26710,0.59,0.91
26711,0.26,0.54
26712,0.66,0.91
26713,0.41,0.69
26714,0.21,0.17
26715,0.02,0.09
26716,0.24,0.85
26717,0.04,0.36
26718,0.26,0.62
26719,0.12,0.85
26720,0.03,0.19
26721,0.36,0.48
26722,0.07,0.14
26723,0.7,0.81
26724,0.02,0.75
26725,0.03,0.04
26726,0.07,0.09
26727,0.45,0.88
26728,0.24,0.59
26729,0.21,0.38
26730,0.05,0.22
26731,0.11,0.23
26732,0.15,0.31
26733,0.9,0.95
26734,0.6,0.4
26735,0.04,0.41
26736,0.03,0.15
26737,0.09,0.16
26738,0.79,0.79
26739,0.07,0.29
26740,0.22,0.19
26741,0.15,0.86
26742,0.08,0.35
26743,0.08,0.4
26744,0.05,0.71
26745,0.1,0.75
26746,0.19,0.22
26747,0.08,0.16
26748,0.1,0.19
26749,0.15,0.52
26750,0.42,0.85
26751,0.53,0.8
26752,0.08,0.17
26753,0.17,0.4
26754,0.34,0.37
26755,0.12,0.37
26756,0.01,0.04
26757,0.39,0.56
26758,0.43,0.82
26759,0.01,0.16
26760,0.08,0.13
26761,0.4,0.66
26762,0.18,0.7
26763,0.81,0.87
26764,0.75,0.9
26765,0.19,0.48
26766,0.17,0.17
26767,0.74,0.62
26768,0.13,0.41
26769,0.14,0.26
26770,0.05,0.49
26771,0.07,0.21
26772,0.09,0.46
26773,0.1,0.31
26774,0.09,0.42
26775,0.03,0.49
26776,0.3,0.35
26777,0.16,0.64
26778,0.16,0.12
26779,0.26,0.67
26780,0.18,0.87
26781,0.14,0.49
26782,0.11,0.24
26783,0.03,0.31
26784,0.29,0.87
26785,0.46,0.67
26786,0.06,0.21
26787,0.04,0.51
26788,0.09,0.85
26789,0.07,0.24
26790,0.02,0.16
26791,0.06,0.05
26792,0.16,0.71
26793,0.28,0.94
26794,0.49,0.82
26795,0.23,0.84
26796,0.03,0.05
26797,0.26,0.61
26798,0.38,0.39
26799,0.33,0.34714285714285714
26800,0.1,0.93
26801,0.18,0.26
26802,0.08,0.27
26803,0.09,0.14
26804,0.05,0.18
26805,0.08,0.15
26806,0.01,0.88
26807,0.49,0.79
26808,0.06,0.34
26809,0.43,0.21
26810,0.04,0.05
26811,0.04,0.17
26812,0.31,0.73
26813,0.39,0.49
26814,0.03,0.72
26815,0.01,0.02
26816,0.09,0.23
26817,0.03,0.67
26818,0.16,0.29
26819,0.16,0.28
26820,0.08,0.21
26821,0.07,0.51
26822,0.11,0.61
26823,0.23,0.43
26824,0.04,0.64
26825,0.52,0.74
26826,0.06,0.84
26827,0.01,0.09
26828,0.07,0.37
26829,0.65,0.92
26830,0.03,0.71
26831,0.26,0.82
26832,0.03,0.89
26833,0.11,0.5
26834,0.2,0.42
26835,0.41,0.79
26836,0.3,0.66
